Amenity ID,Amenity Name
a6fad45b-8f6c-47dd-9ae8-a79d99a614b2,","
dae1dc3a-a149-48de-aec7-919d0413c6ce,", "
92957fc0-d7f8-49d8-b17b-2cba2f69304e,Balcony
68370f51-7512-4260-a381-b286e5a6907f,Barbecue Area
49812bc9-7de2-428e-aeba-8af02809435d,Built in Wardrobes
7bc14746-3b99-46da-9184-d6510f655a8a,Central A/C
e7cf3885-6463-402d-adeb-8f92d7f7477a,Children
671eac49-c02c-4738-98ab-7e998128c34c,Concierge
a7b5d417-a2e6-4086-b0fc-fcd12914f532,Covered Parking
a398d717-389a-4f7d-bb2c-7025db575a85,Furnished
6e99a97b-d6de-46e4-8db7-e8274c705c9e,Kitchen Appliances
d644aee3-1e05-4e96-8ccc-3c7ac68e9e04,Lobby in Building
f40d3772-97bc-4938-bd5c-1961c3d83a21,Maid Service
48275d59-6401-4b9f-8f02-14cf362b8db6,Maids Room
6de36bba-8208-4a01-a28a-c029d1c01469,None
c42ba7a5-1418-4ccf-a8e0-b263163d352b,Partly furnished
23acad16-6ca7-4bba-a32a-1f631bc7d94a,Pets Allowed
a86f1e00-1d95-4582-9972-d6888f7dc1aa,Private Garden
1313b384-6b33-4820-96ce-70376d21e6e6,Private Gym
b93039c1-33b2-4301-9645-d1f3a2b412b9,Private Jacuzzi
309d42ad-0ae6-458e-aaae-0e93839add6f,Private Pool
5a349f91-fcc0-4474-9e9d-ad322806205f,Security
8fae7faa-e9b9-4816-b186-02c8ad26b257,Shared Gym
3aaad6d5-5510-40af-954b-be13655ce863,Shared Pool
bb80b116-f676-4354-9784-c8644ac9bc84,Shared Spa
e169c499-b87e-4042-b051-1e705a397db8,Study
d0df0df6-306b-486f-b1a9-d7bde5fac86a,Unfurnished
f4738d68-96e1-4094-be4b-fb39f9538e8f,Vastu-compliant
4f00a037-0fd7-45f6-963e-0f6c405a2cda,View of Landmark
b249c47f-423b-4c26-b15f-177ee6f61ec9,View of Water
224ebe54-30c1-4eea-a12c-7985d8bced9d,Walk-in Closet
d03f55b8-da67-44df-a5a0-203c262460a2,s Pool
